No,Identifier,Name,Rules,PrasaYati,Yathi,Full Name,Reference
1,aMgana,అంగన,భభభభభమ,,"7,13",అంగన ,చాంద్ బీబీ కో.శ్రీ
2,aMgaruchi,అంగరుచి,భభభభగ,,5,అంగరుచి,"హేమఛంసా 2-196, జయకీర్తి 2-161మా.పట్వర్థన్"
3,aMchalavati,అంచలవతి,భజజభవ,,9,అంచలవతి,వాగ్వల్లభ దుఃఖభంజన
4,aMjanaadri,అంజనాద్రి,రసభసస,,8,అంజనాద్రి,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
5,aMtariksha,అంతరిక్ష,స-స-న-య-భ-లల,,10,అంతరిక్ష ,సఆంఋసం వగోకృ
6,aMtarbhramara,అంతర్భ్రమర,తరతరస,,9,అంతర్భ్రమర ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
7,aMtarvanitaa,అంతర్వనితా,మ-స-మ-గా,,7,అంతర్వనితా,వాగ్వల్లభ దుఃఖభంజన
8,aMtarvikaasa-vaasaka@h,అంతర్వికాస వాసకః,తరజర,,6,అంతర్వికాస వాసకః,వాగ్వల్లభ 
9,aMbara-1,అంబర 1,భభనసతహ,,10,అంబర 1,సఆంఋసం వగోకృ
10,aMbara-2,అంబర 2,భ-న-న-స-లల,,8,అంబర 2 ,మా.పట్వర్థన్
11,aMbuja,అంబుజ,భజససగ,,10,అంబుజ ,మా.పట్వర్థన్
12,aMbudaavaLee,అంబుదావళీ,సయసజగ,,7,"అంబుదావళీ, సుదంత ",వాగ్వల్లభ దుఃఖభంజన మా.పట్వర్థన్
13,aMburuhamu,అంబురుహము,భభభభరసవ,,13,"అంబురుహము, నందక భాసుర ","200 1. కవి కావ్యా.ఆనం. లక్షణ. అప్పక. ""వనమంజరి"" - నాగ. (వనవల్లరి, నాగరంజిత) 2. వృ.మౌ.చం. 3.నందకం హైచంశా  మా.పట్వర్థన్"
14,aMSumaali,అంశుమాలి,ససభనరభ,,10,అంశుమాలి ,సఆంఋసం వగోకృ
15,aka-hari,అక హరి,న-న-న-న-లల,,7,"అక హరి, అకు హరి, మణిగణము, నాగరాజ ",వాగ్వల్లభ /వృత్త మౌక్తిక చంద్రశేఖర పింగళ ప్రకాశ
16,akshaya,అక్షయ,భ-స-జ-స-త-లల,,10,అక్షయ,సఆంఋసం వగోకృ
17,akshayagati,అక్షయగతి,భ-న-న-న-త-భ-లల,,12,అక్షయగతి,సఆంఋసం వగోకృ
18,aksharaSree,అక్షరశ్రీ,భభరయనభ,,11,అక్షరశ్రీ ,సఆంఋసం వగోకృ
19,aksharaavalee,అక్షరావలీ,రసజగ,,6,"అక్షరావలీ, లాలినీ","మంమచం, రణపింగళ మా.పట్వర్థన్"
20,akshi-1,అక్షి 1,సజస,,No,అక్షి 1,మా.పట్వర్థన్
21,akshi-2,అక్షి 2,తజన,,No,అక్షి 2,సఆంఋసం వగోకృ
22,akhaMDamaMDanaM,అఖండమండనం,జరరజగ,,8,అఖండమండనం,వాగ్వల్లభ దుఃఖభంజన
23,akhani@h-Samana,అఖనిః శమన,నజవ,,No,"అఖనిః శమన, లలితగతి ","వాగ్వల్లభ 2 సునందినీ పరిణయము, బభ్రువాహన కో.శ్రీ మా.పట్వర్థన్ భ.నా.శా."
24,agarima,అగరిమ,న-న-న-లల,,5,"అగరిమ, వకుళమ్ 445",1.వా.వ  2. వృ.మౌ.చం  
25,agastyastuti,అగస్త్యస్తుతి,యసతతసర,,10,అగస్త్యస్తుతి ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
26,agra,అగ్ర,త-త-త-త-త-గా,,12,అగ్ర , కొక్కొండ 
27,achaTu,అచటు,ననల,,No,"అచటు, కుసుమతతి",1. వా. వ 2. వృ.మౌ.చం.
28,achala,అచల,జతభయసత,,12,అచల,ఛం.సార
29,achaladhRti,అచలధృతి,నననననల,,10,"అచలధృతి, అచలధృతి 237, గిరివరధృతి, గీత్యార్యా ",1. ఛం.సార 2.వృ.మౌ.చం. 3.వాగ్వల్లభ మా.పట్వర్థన్ ఛందోనుశాసనం
30,achalanayanaM,అచలనయనం,న-న-న-న-న-లల,,10,"అచలనయనం, దశముఖ హరం",1. వా.వ. 2. వృ.మౌ
31,achalapaMkti@h,అచలపంక్తిః,రనసగ,,6,అచలపంక్తిః ,వాగ్వల్లభ దుఃఖభంజన
32,achalamu,అచలము,న-న-లల,,No,"అచలము, కృతయుః, కృశయుః, జలదమ్ ",200 1. వా. వ 2. వృ.మౌ.చం. మా.పట్వర్థన్
33,achyuta-1,అచ్యుత 1,రససవ,,7,అచ్యుత 1 ,మా.పట్వర్థన్
34,achyuta-2,అచ్యుత 2,రనసవ,,7,"అచ్యుత 2, సాధనా ",మా.పట్వర్థన్ ఛందస్కలావతీ
35,ajapaa,అజపా,జరభజనసగ,,10,అజపా,సఆంఋసం వగోకృ
36,ajaya,అజయ,జమననననగ,,9,అజయ,సఆంఋసం వగోకృ
37,ajaya-24,అజయ-24,తజజజజజజజ,,16,అజయ-24,రణపింగళ
38,ajaraskaa,అజరస్కా,జయ,,No,అజరస్కా ,వాగ్వల్లభ దుఃఖభంజన
39,ajita-satpriya,అజిత సత్ప్రియ,ననభజగ,,7,అజిత సత్ప్రియ,మా పట్వర్ధన్
40,aj~naanaakRta,అజ్ఞానాకృత,యరసర,,8,అజ్ఞానాకృత,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
41,atichapalaa-chapalaa,అతిచపలా చపలా,నజజయననస,,"7,13",అతిచపలా చపలా ,మా.పట్వర్థన్
42,atijani,అతిజని,మ-భ-లల,,No,అతిజని,వాగ్వల్లభ దుఃఖభంజన
43,atibalaSree,అతిబలశ్రీ,భసభతజహ,,10,అతిబలశ్రీ ,సఆంఋసం వగోకృ
44,atiraMha,అతిరంహ,జజజరగ,,6,అతిరంహ,వాగ్వల్లభ దుఃఖభంజన
45,atilaekha,అతిలేఖ,సజజనయ,,6,"అతిలేఖ, రేఖ, హేలా, రేఖా",వృర 3.83 2.హేమఛంశా 2-252 3. ఛంకౌ 2-113 భ.నా.శా.
46,ativaasikaa,అతివాసికా,సయరస,,7,అతివాసికా,వాగ్వల్లభ 
47,ativinaya,అతివినయ,నననననస,,10,"అతివినయ, కవి వినుత 239, అతివినయ",1. కవి . 2. మోడేకుర్తి
48,atiSaayinee,అతిశాయినీ,స-స-త-భ-జ-గా,,10,అతిశాయినీ ,మా.పట్వర్థన్
49,atiSaayinee-2,అతిశాయినీ-2,స-స-జ-భ-జ-గా,,10,"అతిశాయినీ-2, అతిశాయినీ 740, చిత్రలేఖా 741, యాదవీ",1.వా.వ. 2. ఛం.సార(యతి 11) 3. శకద్రు (యతి 9)
50,atulapulakaM,అతులపులకం,నననననననస,,"11,19",అతులపులకం,వాగ్వల్లభ దుఃఖభంజన
51,adanijaa,అదనిజా,జజర,,No,అదనిజా,వాగ్వల్లభ దుఃఖభంజన
